MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
16240-FONTEUN;1F16240-FONTEUN;12V 2A P4 - FONTE UNIVERSAL (E)                   ;85044029;;;;;;;
1647500;1647500;MANOMETRO MEDIDOR DE PRESSAO                      ;90262010;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
16699-FITALED;1F16699-FITALED;FITA DE LED RGB (AZVDVM) C CONTROLE (E*)          ;85395100;;;;;;;
168501-00225;1R168501-00225;INDICADOR FILTRO MINDER                           ;90262090;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
16921-FDLINHA;1F16921-FDLINHA;FILTRO DE LINHA 5 TOM. BIV. TRANSCOLOR 3MTS. (D) B;85363090;;;;;;;
1821900;1821900;KIT DE REPARO PARA VALVULA DIAFRAGMA              ;84819090;;;;;;;
1893804;1893804;FILTRO MANGA SATEEN POLIESTER                     ;59119000;;;;;;;
1893804RN;1F1893804;FILTRO MANGA POLIESTER                            ;59119000;;;;;;;
1939600;1F1939600;MODELO A-3010 - SERIE MODELO PHOTOHELIC.          ;90262010;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
1A14190007A;1A14190007A;LID VENTING UNIT                                  ;39269090;0,0975;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A14190018;1A14190018;PLASTIC LINER FOR STD UNIT                        ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A14897000;1A14897000;KIT DE REPARO FILTROS DE GASES IND                ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A14898006A;1A14898006A;ADESIVO DCE                                       ;39199090;;;;;;;
1A21293035;1A21293035-000-440;ROTOR PLASTICO P/ FILTRO DE GASES IND             ;84149020;;;;;;;
1A21392043440;1A21392043    440;ELEMENTO FILTRANTE PARA GASES INDUSTRIAIS         ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A21392373 440;1A21392373    440;ELEMENTO FILTRANTE P FILTROSDE GASES IND          ;59119000;;;;;;;
1A21392414440;1A21392414    440;ELEMENTO FILTRANTE P/ GASES IND UMA 40;59119000;;;;;;;
1A21392509440;1A21392509    440;ELEMENTO FILTRANTE PARA GASES IND                 ;59119000;;;;;;;
1A21397241;1A21397241    440;ELEMENTO BAG DURALIFE UMA 150                     ;59119000;;;;;;;
1A21611513;1A21611513;FINAL FILTER HEPA UMA 150                         ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A21613551C440;1A21613551C    440;MEMBRANA DE EXPLOSAO W 1414 MM X H 656 MM         ;85369090;;;;;;;
1A23526006;1A23526006;VEDACAO DE BORRACHA                               ;40169300;;;;;;;
1A25647644;1A25647644-000-440;VALVULA SOLENOIDE 110V 50-60 HZ                   ;84818092;;;;;;;
1A25653204;1A25653204-000-440;KIT DE REPARO PARA VALVULA DIAFRAGMA;84819090;;;;;;;
1A25856703;1A25856703;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A31112004PH;1A31112004PH;ESTRUTURA METALICA P/ SIST. DE FILTRAGEM          ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A31339000D440;1A31339000D    440;INSERTO METALICO 1.0 M SS 304                     ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A31392046A;1A31392046A;ELEMENTO FILTRANTE P/ GASES INDUSTRIAIS           ;59119000;;;;;;;
1A31392290;1A31392290    440;TETRATEX ON POLYESTER ANTI-STATIC                 ;59119000;;;;;;;
1A31392291440;1A31392291    440;MANGA FILTRANTE DALAMATIC 1.0M                    ;59119000;;;;;;;
1A31392316440;1A31392316    440;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A31392317;1A31392317;BAG DURA LIFE DALAMATIC                           ;59119000;;;;;;;
1A31392317440;1A31392317    440;ELEMENTO FILTRANTE PARA GASES IND;59119000;;;;;;;
1A31392318440;1A31392318    440;ELEMENTO FILTRANTE PARA GASES IND                 ;59119000;;;;;;;
1A31392319 440;1A31392319    440;ELEMENTO FILTRANTE PARA GASES IND                 ;59119000;;;;;;;
1A31392321 440;1A31392321    440;ELEM FILTRANTE PARA GASES INDUSTRIAIS             ;59119000;;;;;;;
1A31392321RN;1F1A31392321;ELEM FILTRANTE PARA GASES INDUSTRIAIS             ;59119000;;;;;;;
1A31392323440;1A31392323    440;ELEMENTO FILTRANTE DURALIFE CONDUCT 1.0M          ;59119000;;;;;;;
1A31392324;1A31392324;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;59119000;;;;;;;
1A31392324 440;1A31392324    440;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;59119000;;;;;;;
1A31392325440;1A31392325    440;ELEMENTO FILTRANTE 1.5 M DURALIFE AS              ;59119000;;;;;;;
1A31591033;1A31591033;PAINEL CONTR. ELET. P/ SIST. FILT. GASES          ;85371090;;;;;;;
1A31599323;1A31599323;PAINEL DE CONTROLE IPC                            ;85371090;;;;;;;
1A31599397;1A31599397;PAINEL DE CONTROLE P/ SIST. DE FILTRAGEM          ;85371090;;;;;;;
1A31890049;1F1A31890049;VEDACAO DE BORRACHA                               ;40169300;;;;;;;
1A31890066;1A31890066-000-440;VEDACAO DE BORRACHA                               ;40169300;;;;;;;
1A31899011;1A31899011-000-440;VALVULA DIAFRAGMA GOYEN RCAC25                    ;84818099;0,0325;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A33110165;1A33110165;TUBO METALICO CONECTOR                            ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A33112032PH;1A33112032;FRAME SEAL 2 SLOT                                 ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1A33142027A;1A33142027A;SEAL FRAME DETAIL 2 SLOT FOR DALAMATIC INSERTS SS3;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A33398006;1A33398006;ADESIVO DCE                                       ;39199090;;;;;;;
1A42811000A;1A42811000A;ADAPTOR, JET TUBE                                 ;73079900;;;;;;;
1A51198011A;1A51198011A;ADESIVO DCE                                       ;39199090;;;;;;;
1A51399014;1A51399014    440;BAG ULTRA-WEB SB                                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A51399015 440;1A51399015    440;ELEMENTO FILTRANTE P GASES INDUSTRIAIS            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A51399016 440;1A51399016    440;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A63399012;1A63399012;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A63399013 440;1A63399013    440;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A64399007 440;1A64399007    440;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A64399012 440;1A64399012    440;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1B00510-02;1B00510-02;FELT SCREEN VIBRATION PAD                         ;59119000;;;;;;;
1B00801-01;1B00801-01;ANEL DE VEDACAO EM FERRO                          ;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1B00802-01;1B00802-01;ORING 9/32 ID X 9/16OD X 1/8                      ;40161090;0,117;1,65;7,6;0,7442;0,7986;0,844;0,8712
1B00904-10;1B00904-10;ABRACADEIRA PARA MANGUEIRA                        ;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1B00906-01;1F1B00906-01;PVC 1/2 ID X 5/8 OD MANGUEIRA PRIMAR              ;40093100;;;;;;;
1B00906-04;1F1B00906-04;PVC 1 1/4 ID X 1 1/2 OD (MANGUEIRA SECUNDARIA)    ;40093100;;;;;;;
1C0109957000;1C0109957000;TERMOMETRO MEDIDOR DE PONTO DE ORVALHO            ;90251990;;;;;;;
1C0110978060;1C0110978060;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020241N;1C020241N;ELEM FILTR P/GAS FF N 12/3 2S K 220 AO            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020242N;1C020242N;ELEMENTO FILTRANTE FF N 24/3                      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020261N;1C020261N;ELEMENTO FILTRANTE MF N 12/3 2IN. S K 220 AA      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020262-70N;1C020262-70N;ELEMENTO FILTRANTE MF N 24/3 2IN. S K 330 AA      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020262N;1C020262N;ELEMENTO MF N 24/3 2IN S K330 AA / CE 198E        ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020281;1C020281;ELEMENTO FILTRANTE AK 12/3 2S                     ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020282;1C020282;ELEMENTO FILTANTE AK 24/3 2IN. S K 330 ACS        ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020291N;1C020291N;ELEMENTO FILTRANTE SMF N 12/3 2IN. S K 220 AX     ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020294N;1C020294N;ELEMENTO FILTRANTE SMF N 24/4 2 1/2 INCH S K 620  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020379N;1C020379N;ELEMENTO FILTRANTE FF N 4/1,5 K 030 AO            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020381N;1C020381N;ELEMENTO FF N 10/2,5                              ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020386N;1C020386N;ELEMENTO FILTRANTE MF N 4/1,5 K 030 AA            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C020388N;1C020388N;ELEMENTO MF N 10/2,5                              ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C022100-10;1C022100-10;ELEM FILTR P/GAS IND PP 20/3 10 MIC P7            ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C022140-01;1C022140-01;ELEMENT FILT PARA GAS IND PP 30/3 1 MIC           ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C022972-84;1C022972-84;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C022974-01;1C022974-01;ELEMENTO FILTRANTE PARA GASES IND                 ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C024224;1C024224;ELEMENTO FILTRANTE AK 4/1,5 K 030 ACS             ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C024240;1C024240;ELEMENTO AK 10/2,5                                ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C025424;1C025424;ELEMENTO FILTRANTE AK 5 1,5 1140 A                ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C026538-82;1C026538-82;ELEMENTO FILTRANTE PF-PES WT J 0,2MIC MCY 4463    ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C026569N;1C026569N;ELEMENTO FILTRANTE SMF N 30/5Z 5075 X             ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C026894;1C026894;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C026952;1C026952;ELEMENTO FILTRANTE SMF 03/05                      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027015;1C027015;ELEMENTO FILTRANTE FFO 20/30                      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027033;1C027033;ELEMENTO FILTRANTE SMFO 03/05 OXIGENIO            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027114;1C027114;ELEMENTO FILTRANTE P-SMFO 30/30                   ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027193;1C027193;ELEMENTO, VF-48 E9-48                             ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027193-147;1C027193-147;ELEMENTO FILTRANTE C9-48 TMC                      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027710;1C027710;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C027713;1C027713;ELEMENTO FILTRANTE AK 30/50                       ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C028709;1C028709;ELEMENTO FILTRANTE FFP 12/3                       ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C028777;1C028777;ELEM FILT P/GAS IND MFP 15/30 G2 SPECIFI          ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C028798;1C028798N;ELEMENTO FILTR. P/ FILTRO DE GASES IND.           ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C028867;1C028867;ELEMENTO MFP 12/3 2S                              ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
