MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
1FE508936;1FE508936;ADESIVO TEROSON MS 9360 PRETO;32141010;;;;;;;
1FAT00070;1FAT00070;SERVICOS INST/ MELHORIAS DE MAQ E EQUIPA;85044029;;;;;;;
1FM5IN-B14N;1FM5IN-B14N;MANOMETRO WILLTEC;90262010;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
1FDE000112;1FDE000112;INSTALACOES;85395100;;;;;;;
1FX770193-016-696;1FX770193-016-696;INDICADOR DE RESTRICAO;90262090;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
1F16921-FDLINHA;1F16921-FDLINHA;FILTRO DE LINHA 5 TOM. BIV. TRANSCOLOR 3MTS. (D) B;85363090;;;;;;;
F150029-016-915;F150029-016-915;F4556 - (11051-M116) BLOCO CENTRAL ALTA;84819090;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
1FM5IN-B14N;1FM5IN-B14N;MANOMETRO WILLTEC;90262010;0;1,65;7,6;0,7986;0,7986;0,844;0,8712
P100091-016-700;P100091-016-700;TAMPAO PLASTICO PARA INDICADOR;39269090;0,0975;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FP192049;1FP192049;ETIQUETA ADESIVA ULTRA LOK;39199090;;;;;;;
1FDAMPER003;1FDAMPER003;DAMPER CORTA FOGO;84149020;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1A21613551C    440;1A21613551C    440;MEMBRANA DE EXPLOSAO W 1414 MM X H 656 MM;85369090;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
1FHAEVXBG0G9A;1FHAEVXBG0G9A;VALVULA SOLENOIDE PARKER  HAEVXBG0G9A;84818092;;;;;;;
F150029-016-915;F150029-016-915;F4556 - (11051-M116) BLOCO CENTRAL ALTA;84819090;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
AG8013508;AG8013508;PLACA DO PAINEL DE CONTROLE 24V;85371090;;;;;;;
AG8013508;AG8013508;PLACA DO PAINEL DE CONTROLE 24V;85371090;;;;;;;
AG8013508;AG8013508;PLACA DO PAINEL DE CONTROLE 24V;85371090;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
P115097-016-700;P115097-016-700;ANEL DE VEDACAO OD 407MM;40169300;;;;;;;
8PP-AG81138-01;8PP-AG81138-01;VALVULA DE DIAFRAGMA PNEUMATICA RCAC25DD;84818099;0,0325;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1FP192049;1FP192049;ETIQUETA ADESIVA ULTRA LOK;39199090;;;;;;;
P100596-016-915;P100596-016-915;PLUG PARA FILTRO HIDRAULICO;73079900;;;;;;;
1FP192049;1FP192049;ETIQUETA ADESIVA ULTRA LOK;39199090;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
P030670-016-210;P030670-016-210;ELEMENTO FILTR. P/ FILTRO DE GASES IND.;59119000;;;;;;;
P002823-016-900;P002823-016-900;ABRACADEIRA DE ACO;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FD140HYD;1FD140HYD;MOUSE PAD;40161090;0,117;1,65;7,6;0,7442;0,7986;0,844;0,8712
P002823-016-900;P002823-016-900;ABRACADEIRA DE ACO;73269090;0,05;1,65;7,6;0,7442;0,7986;0,844;0,8712
1F8PP-96240-01;1F8PP-96240-01;MANGUEIRA DE POLIURETANO 14 POLEGAS;40093100;;;;;;;
1F8PP-96240-01;1F8PP-96240-01;MANGUEIRA DE POLIURETANO 14 POLEGAS;40093100;;;;;;;
1C525533-AS;1C525533-AS;MEDIDOR DE PONTO DE ORVALHO UDM 300;90251990;;;;;;;
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
326523A52768922;326523A52768922;DALAMATIC DUST COLLECTOR DLMC 3-7-15;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
